Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Tabula_Muris_Senis.ESmu190820__Large_Intestine.intestinal_crypt_stem_cell	5.633860938618591e-09	1.934588777916294e-09	0.0017946078433456838
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_PP_cell	5.967211611389424e-09	2.2505392134675183e-09	0.004007246575082365
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_A_cell	3.973013368532004e-09	1.6458790029722973e-09	0.0078910539974302
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_A	5.017219798535717e-09	2.2121326592337852e-09	0.011663185457286044
Tabula_Muris_Senis.ESmu190820__Marrow.erythroid_progenitor	4.760817191932707e-09	2.484249968288269e-09	0.02765708626489624
Tabula_Muris_Senis.ESmu190820__Large_Intestine.epithelial_cell_of_large_intestine	4.357668455434677e-09	2.4613735906390105e-09	0.03832848447402499
Tabula_Muris_Senis.ESmu190820__Thymus.thymocyte	3.2401257210143455e-09	1.8438422885224703e-09	0.03943603876638642
Tabula_Muris_Senis.ESmu190820__Tongue.keratinocyte	2.539766077200984e-09	1.4625397894326146e-09	0.041233762325443776
Tabula_Muris_Senis.ESmu190820__Marrow.Marrow_Cd4_T_cell	4.250535139697694e-09	2.4960155336946485e-09	0.04429075671429243
Tabula_Muris_Senis.ESmu190820__Thymus.epithelial_cell_of_thymus	3.848049407436642e-09	2.292906097512172e-09	0.04665001397392457
Tabula_Muris_Senis.ESmu190820__Large_Intestine.enteroendocrine_cell	2.843934622915e-09	1.8098679719669661e-09	0.05805077731500451
Tabula_Muris_Senis.ESmu190820__Marrow.HSC_enriched_fraction	2.8366116846226846e-09	1.8099778904914403e-09	0.05853304993587343
Tabula_Muris_Senis.ESmu190820__Thymus.nan	4.766338253389389e-09	3.2502939783774032e-09	0.07126518483237697
Tabula_Muris_Senis.ESmu190820__Large_Intestine.secretory_cell	2.2786328801582397e-09	1.5713504211708936e-09	0.07351375304941028
Tabula_Muris_Senis.ESmu190820__Large_Intestine.enterocyte_of_epithelium_of_large_intestine	2.8262238973087064e-09	2.031398999938015e-09	0.08207182768022764
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_acinar_cell	1.912188848820861e-09	1.3925299635735385e-09	0.08484880563305469
Tabula_Muris_Senis.ESmu190820__Spleen.proerythroblast	4.7558104952563455e-09	3.4745242505120358e-09	0.0855362234393941
Tabula_Muris_Senis.ESmu190820__Liver.hepatocyte	2.1675021574384887e-09	1.704620085978046e-09	0.10176730919602817
Tabula_Muris_Senis.ESmu190820__Marrow.late_pro-B_cell	2.811325801194394e-09	2.218737975853628e-09	0.10256275594241943
Tabula_Muris_Senis.ESmu190820__Tongue.basal_cell_of_epidermis	2.081568389260486e-09	1.6550507485707608e-09	0.10424892699644805
Tabula_Muris_Senis.ESmu190820__Lung.macrophage	3.7395221647310095e-09	3.059190592100122e-09	0.11078020215988305
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_D_cell	1.7838963912650864e-09	1.5000489221024277e-09	0.11717547629828556
Tabula_Muris_Senis.ESmu190820__Liver.Kupffer_cell	2.0984606338664716e-09	1.8764400424246702e-09	0.1317151506249114
Tabula_Muris_Senis.ESmu190820__Large_Intestine.large_intestine_goblet_cell	1.933142267410569e-09	1.76279404671297e-09	0.13640041388785618
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_ductal_cell	2.700791519709289e-09	2.4663642737935756e-09	0.13674742623525954
Tabula_Muris_Senis.ESmu190820__Large_Intestine.Brush_cell_of_epithelium_proper_of_large_intestine	3.3524144721976624e-09	3.175603691103882e-09	0.14555771041725063
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_B_cell	1.5013002142735733e-09	1.4312953170720907e-09	0.14710973219150647
