Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Tabula_Muris_Senis.ESmu190820__Large_Intestine.intestinal_crypt_stem_cell	4.952040262742532e-09	1.8042188731153166e-09	0.0030283081374431623
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_A	4.929849083858167e-09	2.0366342138171757e-09	0.007747748188141221
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_PP_cell	4.657373795851185e-09	2.0504282530364384e-09	0.011560929101423643
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_A_cell	3.4425012869529865e-09	1.5287126423816606e-09	0.012164434843491756
Tabula_Muris_Senis.ESmu190820__Marrow.erythroid_progenitor	4.173887619501704e-09	2.2477742181937905e-09	0.03166282823276978
Tabula_Muris_Senis.ESmu190820__Marrow.HSC_enriched_fraction	2.9749177476668502e-09	1.6816465003445881e-09	0.038442715519071025
Tabula_Muris_Senis.ESmu190820__Marrow.Marrow_Cd4_T_cell	3.897946420276599e-09	2.3846722103580165e-09	0.05106816927348976
Tabula_Muris_Senis.ESmu190820__Thymus.epithelial_cell_of_thymus	3.456312413673272e-09	2.1535983263857244e-09	0.054257781088835846
Tabula_Muris_Senis.ESmu190820__Lung.macrophage	4.20074443519454e-09	2.777792319122627e-09	0.06523385610383811
Tabula_Muris_Senis.ESmu190820__Liver.hepatocyte	2.438491235821646e-09	1.629531901036753e-09	0.06726995427847621
Tabula_Muris_Senis.ESmu190820__Spleen.proerythroblast	4.736939036322651e-09	3.2434189051318562e-09	0.07207949838006947
Tabula_Muris_Senis.ESmu190820__Tongue.keratinocyte	1.959161070633618e-09	1.3420545939990749e-09	0.07216947477444549
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_ductal_cell	3.1934796304183824e-09	2.200018514032324e-09	0.07331068135223623
Tabula_Muris_Senis.ESmu190820__Thymus.thymocyte	2.5085115488767517e-09	1.7466583098155765e-09	0.07547590486770858
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_acinar_cell	1.924249448338754e-09	1.357976921872316e-09	0.0782418781812224
Tabula_Muris_Senis.ESmu190820__Tongue.basal_cell_of_epidermis	1.9949776938643086e-09	1.4609437072116785e-09	0.08604162792212394
Tabula_Muris_Senis.ESmu190820__Thymus.nan	3.6608542267392535e-09	2.7417229287563728e-09	0.09089913703442648
Tabula_Muris_Senis.ESmu190820__Large_Intestine.enteroendocrine_cell	2.0850654061018098e-09	1.68578211807527e-09	0.10807074971262409
Tabula_Muris_Senis.ESmu190820__Marrow.late_pro-B_cell	2.5399834123514485e-09	2.0672772339059553e-09	0.10959942188647315
Tabula_Muris_Senis.ESmu190820__Large_Intestine.epithelial_cell_of_large_intestine	2.5957124343469617e-09	2.1143308218266956e-09	0.10978437819020459
Tabula_Muris_Senis.ESmu190820__Large_Intestine.secretory_cell	1.7735326203925184e-09	1.484586895429376e-09	0.1161157353380381
Tabula_Muris_Senis.ESmu190820__Large_Intestine.Brush_cell_of_epithelium_proper_of_large_intestine	3.1336140753119045e-09	2.679253659936121e-09	0.12108406966749286
Tabula_Muris_Senis.ESmu190820__Kidney.kidney_loop_of_Henle_ascending_limb_epithelial_cell	3.143626801462576e-09	2.8496242486470006e-09	0.1349761538495124
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_B_cell	1.4810846998588469e-09	1.349297759253383e-09	0.13617414062202954
Tabula_Muris_Senis.ESmu190820__Liver.Kupffer_cell	1.888929354546311e-09	1.7311514188146635e-09	0.13760554107344236
Tabula_Muris_Senis.ESmu190820__Large_Intestine.enterocyte_of_epithelium_of_large_intestine	1.9078245465475925e-09	1.882409685319269e-09	0.15541040254226335
Tabula_Muris_Senis.ESmu190820__Large_Intestine.large_intestine_goblet_cell	1.624210846382234e-09	1.7176891328459802e-09	0.1721816687473527
Tabula_Muris_Senis.ESmu190820__Marrow.nan-marrow-needs-subclustering	1.4975773767219135e-09	1.6354397773655629e-09	0.17991130284881307
Tabula_Muris_Senis.ESmu190820__Marrow.naive_B_cell	1.3158486413237714e-09	1.4807148250727663e-09	0.18709353358332648
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.oligodendrocyte	1.3839804921424353e-09	1.5915811394827936e-09	0.1922695601837997
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_D_cell	1.1250288259882267e-09	1.3454716043862524e-09	0.20153259748905122
Tabula_Muris_Senis.ESmu190820__Kidney.epithelial_cell_of_proximal_tubule	1.3180224745902217e-09	1.6186663746435714e-09	0.2077467372528577
Tabula_Muris_Senis.ESmu190820__Kidney.kidney_collecting_duct_principal_cell	2.273507638885009e-09	2.885563239649219e-09	0.21538040201771752
Tabula_Muris_Senis.ESmu190820__Brain_Myeloid.microglial_cell	1.5112551759631614e-09	2.0037142923199875e-09	0.2253565003133136
Tabula_Muris_Senis.ESmu190820__Heart.ventricular_myocyte	9.939201740980988e-10	1.4407992482875682e-09	0.24514757561395312
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.skeletal_muscle_satellite_cell	1.0690952011316378e-09	1.8262188903481261e-09	0.27913448705722216
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.nan	8.872973366766573e-10	1.6543832663045445e-09	0.2958648410195439
Tabula_Muris_Senis.ESmu190820__Marrow.megakaryocyte-erythroid_progenitor_cell	1.613787111433685e-09	3.1042659923842656e-09	0.30158019738166014
Tabula_Muris_Senis.ESmu190820__Skin.epidermal_cell	7.970409848430327e-10	1.706931632838288e-09	0.32027007674136676
Tabula_Muris_Senis.ESmu190820__Heart.smooth_muscle_cell	8.653277556625455e-10	1.9506597147801425e-09	0.3286631029081868
Tabula_Muris_Senis.ESmu190820__Kidney.kidney_collecting_duct_epithelial_cell	6.53067544425183e-10	1.5381991770275484e-09	0.33557642941114746
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.neuronal_stem_cell	8.683524388580203e-10	2.170759016511908e-09	0.3445699740155417
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.oligodendrocyte_precursor_cell	4.0313348193039333e-10	1.0973305374133226e-09	0.3566690890051569
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_C	7.441374733623395e-10	2.11323888822568e-09	0.3623699127188341
Tabula_Muris_Senis.ESmu190820__Liver.B_cell	7.400724480452634e-10	2.1564505130133593e-09	0.36572772933269304
Tabula_Muris_Senis.ESmu190820__Marrow.basophil	7.146864120191729e-10	2.327656951445957e-09	0.3794060344257376
Tabula_Muris_Senis.ESmu190820__Trachea.chondrocyte	4.0000460675136056e-10	1.9034120647767697e-09	0.4167747760432413
Tabula_Muris_Senis.ESmu190820__Liver.T_cell	2.9615665154598837e-10	1.904165976918873e-09	0.4382013971196126
Tabula_Muris_Senis.ESmu190820__Kidney.Kidney-new-24m-cluster	2.182788365543307e-10	1.5566170426237331e-09	0.4442405486531925
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.macrophage	3.108620243449499e-10	2.368153103934059e-09	0.44778176896677335
Tabula_Muris_Senis.ESmu190820__Skin.basal_cell_of_epidermis	1.8029774458879714e-10	1.448300754949444e-09	0.4504639912926881
