Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_PP_cell	6.557664034026436e-09	2.1231090547036896e-09	0.0010051444030545634
Tabula_Muris_Senis.ESmu190820__Thymus.nan	9.23881370246717e-09	3.384612250497528e-09	0.003170060388462809
Tabula_Muris_Senis.ESmu190820__Large_Intestine.intestinal_crypt_stem_cell	5.824546925874183e-09	2.1974140485733097e-09	0.004017007145904423
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_A_cell	4.543767966882231e-09	2.01450765286078e-09	0.012050266015148966
Tabula_Muris_Senis.ESmu190820__Large_Intestine.Brush_cell_of_epithelium_proper_of_large_intestine	5.511847687565825e-09	2.5372914843400496e-09	0.014915193170685712
Tabula_Muris_Senis.ESmu190820__Large_Intestine.epithelial_cell_of_large_intestine	4.013333316337391e-09	2.0151586831354325e-09	0.023209027010834504
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_B_cell	2.8858542119343696e-09	1.5498125412488688e-09	0.03129684966226521
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_D_cell	3.0104799508824132e-09	1.6745856501867035e-09	0.0361086200636613
Tabula_Muris_Senis.ESmu190820__Marrow.erythroid_progenitor	4.715461866493394e-09	2.6925063142552468e-09	0.03994470827662813
Tabula_Muris_Senis.ESmu190820__Tongue.keratinocyte	2.902539092213136e-09	1.7030811446056016e-09	0.04416373917108851
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_A	3.773864035586561e-09	2.2970612252186994e-09	0.05020081487679267
Tabula_Muris_Senis.ESmu190820__Lung.macrophage	5.795274794309481e-09	4.0363648000730485e-09	0.07553448817308074
Tabula_Muris_Senis.ESmu190820__Marrow.basophil	3.950522671063276e-09	3.0650273710855354e-09	0.09871592265398821
Tabula_Muris_Senis.ESmu190820__Marrow.Marrow_Cd4_T_cell	3.9236348793144565e-09	3.070584973419932e-09	0.1006575996183961
Tabula_Muris_Senis.ESmu190820__Large_Intestine.enteroendocrine_cell	2.3822550772452148e-09	1.9185043989809756e-09	0.10716900189729589
Tabula_Muris_Senis.ESmu190820__Marrow.megakaryocyte-erythroid_progenitor_cell	5.012802549859437e-09	4.213028653121017e-09	0.11705592357079836
Tabula_Muris_Senis.ESmu190820__Large_Intestine.enterocyte_of_epithelium_of_large_intestine	2.5975757981478875e-09	2.311339646306603e-09	0.13054046819423126
Tabula_Muris_Senis.ESmu190820__Kidney.epithelial_cell_of_proximal_tubule	2.296620586130993e-09	2.045978975176149e-09	0.13082399977063452
Tabula_Muris_Senis.ESmu190820__Kidney.kidney_loop_of_Henle_ascending_limb_epithelial_cell	2.630457731439898e-09	2.7288662640756754e-09	0.16753851989051327
Tabula_Muris_Senis.ESmu190820__Spleen.proerythroblast	3.388360858947753e-09	3.793288866267691e-09	0.18586125999328734
Tabula_Muris_Senis.ESmu190820__Brain_Myeloid.microglial_cell	2.5385211690447438e-09	2.9128329724290336e-09	0.191741798953324
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_acinar_cell	1.266003435211085e-09	1.4566585735038242e-09	0.19239218801782693
Tabula_Muris_Senis.ESmu190820__Kidney.Kidney-new-24m-cluster	1.5323374217264122e-09	1.8557228413111569e-09	0.20447689239094768
Tabula_Muris_Senis.ESmu190820__Tongue.basal_cell_of_epidermis	1.4092807408951686e-09	1.8485548442182353e-09	0.22291992834274987
Tabula_Muris_Senis.ESmu190820__Liver.Kupffer_cell	1.6720297103879996e-09	2.2045132589031187e-09	0.22408856032914048
