Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_A_cell	2.5595370866770354e-08	7.154954909614796e-09	0.00017358540633075718
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_PP_cell	2.8254287631032344e-08	8.694699538547988e-09	0.0005778390562640194
Tabula_Muris_Senis.ESmu190820__Large_Intestine.intestinal_crypt_stem_cell	2.3445376330410645e-08	8.25490128271015e-09	0.0022544292133265718
Tabula_Muris_Senis.ESmu190820__Tongue.keratinocyte	1.3387256964328746e-08	5.8886090443120845e-09	0.011500566819072692
Tabula_Muris_Senis.ESmu190820__Marrow.erythroid_progenitor	2.242978345959161e-08	1.027277944522573e-08	0.014502478142948218
Tabula_Muris_Senis.ESmu190820__Large_Intestine.epithelial_cell_of_large_intestine	2.332744590220912e-08	1.1400987647343686e-08	0.02037376228129308
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_A	1.8332198276740823e-08	9.353601066958473e-09	0.025003267720523123
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_B_cell	1.043381350849709e-08	5.328804357125847e-09	0.025114845851213468
Tabula_Muris_Senis.ESmu190820__Liver.hepatocyte	1.2210936914748353e-08	6.531596016739861e-09	0.030775384564805868
Tabula_Muris_Senis.ESmu190820__Tongue.basal_cell_of_epidermis	1.213918922496759e-08	6.56237733455843e-09	0.032170052001266956
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_ductal_cell	1.8700301291618467e-08	1.0628700686408525e-08	0.03925347610004772
Tabula_Muris_Senis.ESmu190820__Large_Intestine.enteroendocrine_cell	1.2783415827518484e-08	7.287248900824061e-09	0.03969666659021881
Tabula_Muris_Senis.ESmu190820__Large_Intestine.Brush_cell_of_epithelium_proper_of_large_intestine	2.7873480730063873e-08	1.6028882521607683e-08	0.04102147471988921
Tabula_Muris_Senis.ESmu190820__Thymus.epithelial_cell_of_thymus	1.6903079674851436e-08	1.0141226916453115e-08	0.04778020245630297
Tabula_Muris_Senis.ESmu190820__Heart.smooth_muscle_cell	1.619899120298622e-08	9.72151884792931e-09	0.04782658908685545
Tabula_Muris_Senis.ESmu190820__Marrow.Marrow_Cd4_T_cell	1.6609685170295878e-08	1.0055429036859301e-08	0.04928637165273873
Tabula_Muris_Senis.ESmu190820__Spleen.proerythroblast	2.034548901750689e-08	1.333130688945774e-08	0.06348704984489878
Tabula_Muris_Senis.ESmu190820__Thymus.nan	2.2728796585162103e-08	1.5146884082332333e-08	0.06673480263135573
Tabula_Muris_Senis.ESmu190820__Marrow.megakaryocyte-erythroid_progenitor_cell	2.3715822741831285e-08	1.5907983754543842e-08	0.06800535039030851
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_D_cell	8.695655473219574e-09	6.055022347881704e-09	0.07548605412659133
Tabula_Muris_Senis.ESmu190820__Skin.epidermal_cell	1.2278670083018969e-08	8.56419943803776e-09	0.07582599013764038
Tabula_Muris_Senis.ESmu190820__Heart.ventricular_myocyte	7.448197577965789e-09	5.3319316448534815e-09	0.0812211944112951
Tabula_Muris_Senis.ESmu190820__Marrow.HSC_enriched_fraction	1.0687155752806319e-08	7.651572828916536e-09	0.08124789214309652
Tabula_Muris_Senis.ESmu190820__Large_Intestine.secretory_cell	9.609143277031047e-09	6.949885048994445e-09	0.08338864940365404
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_acinar_cell	6.825840029491865e-09	5.237215439501436e-09	0.09623040903755525
Tabula_Muris_Senis.ESmu190820__Large_Intestine.enterocyte_of_epithelium_of_large_intestine	1.0544428090248474e-08	8.365426162712113e-09	0.10374865232539787
Tabula_Muris_Senis.ESmu190820__Thymus.thymocyte	8.02901244357725e-09	6.914041441452971e-09	0.12276771775646672
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.neuronal_stem_cell	1.0770041607712127e-08	9.59691658681314e-09	0.1308802504258667
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.oligodendrocyte	6.642781113489502e-09	6.681544850383513e-09	0.16006314660044596
Tabula_Muris_Senis.ESmu190820__Kidney.Kidney-new-24m-cluster	8.132553818942523e-09	8.301410074000383e-09	0.16362715431528485
Tabula_Muris_Senis.ESmu190820__Kidney.epithelial_cell_of_proximal_tubule	8.50978748874949e-09	8.72124596398087e-09	0.1645932819915168
Tabula_Muris_Senis.ESmu190820__Kidney.kidney_collecting_duct_epithelial_cell	8.334150562218898e-09	8.883298437930089e-09	0.17407544736921332
Tabula_Muris_Senis.ESmu190820__Lung.macrophage	8.92320170797541e-09	9.859215244319323e-09	0.1827162538395764
Tabula_Muris_Senis.ESmu190820__Marrow.naive_B_cell	5.3651624485184534e-09	6.394131766909038e-09	0.20071333400010055
Tabula_Muris_Senis.ESmu190820__Trachea.endothelial_cell	9.413836308262077e-09	1.1222966673766245e-08	0.2007904787488925
Tabula_Muris_Senis.ESmu190820__Liver.T_cell	7.405761219771322e-09	9.312882040872079e-09	0.21324367033054037
Tabula_Muris_Senis.ESmu190820__Kidney.kidney_loop_of_Henle_ascending_limb_epithelial_cell	1.1195259416137166e-08	1.5088093108911883e-08	0.22904578946621718
Tabula_Muris_Senis.ESmu190820__Marrow.late_pro-B_cell	5.576265553619559e-09	7.576140883283788e-09	0.23085627746841714
Tabula_Muris_Senis.ESmu190820__Marrow.basophil	7.285082428718051e-09	1.0600382446817546e-08	0.2459635042080685
Tabula_Muris_Senis.ESmu190820__Large_Intestine.large_intestine_goblet_cell	4.176234896991707e-09	6.749255224731531e-09	0.2680340298940056
Tabula_Muris_Senis.ESmu190820__Heart.atrial_myocyte	3.6190684691426012e-09	5.946665358758136e-09	0.2713988197024365
Tabula_Muris_Senis.ESmu190820__Skin.basal_cell_of_epidermis	3.807524567089109e-09	7.267802243520147e-09	0.3001777334253432
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_stellate_cell	4.954643136273209e-09	9.513529341541788e-09	0.3012531593744924
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.skeletal_muscle_satellite_cell	3.792439214004846e-09	7.3561214983243e-09	0.30308480776448654
Tabula_Muris_Senis.ESmu190820__Trachea.mucus_secreting_cell	6.037657671968409e-09	1.2323246012915479e-08	0.3120879912591552
Tabula_Muris_Senis.ESmu190820__Kidney.kidney_collecting_duct_principal_cell	6.6114308119525055e-09	1.6060792305166437e-08	0.34029785980345634
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.brain_pericyte	3.89583481622779e-09	1.044996167726039e-08	0.3546454781502357
