Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Tabula_Muris_Senis.ESmu190820__Lung.monocyte	1.2256255739194183e-07	3.018488594601733e-08	2.4494891519109983e-05
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.macrophage	1.9298495030651614e-07	4.906666051547076e-08	4.19255789927672e-05
Tabula_Muris_Senis.ESmu190820__Thymus.DN4_thymocyte	9.201698673001938e-08	2.896700023360821e-08	0.000745025337622837
Tabula_Muris_Senis.ESmu190820__Marrow.NK_cell	9.212307179006276e-08	2.904999535832273e-08	0.0007590775189521299
Tabula_Muris_Senis.ESmu190820__Trachea.T_cell	1.287958411033492e-07	4.513647538926674e-08	0.0021621909367932064
Tabula_Muris_Senis.ESmu190820__Brain_Myeloid.macrophage	9.912096089797637e-08	3.509352984415516e-08	0.002367872771919935
Tabula_Muris_Senis.ESmu190820__Fat.T_cell	1.1564315969663307e-07	4.112857352425007e-08	0.002463659087007109
Tabula_Muris_Senis.ESmu190820__Fat.NK_cell	1.6491819416867386e-07	6.122991770257572e-08	0.0035361022101642703
Tabula_Muris_Senis.ESmu190820__Trachea.granulocyte	1.1316637026870073e-07	4.202990918592908e-08	0.003545714313737805
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.B_cell	1.453399486517918e-07	5.453193712103185e-08	0.0038468274375782438
Tabula_Muris_Senis.ESmu190820__Spleen.T_cell	9.226424743835173e-08	3.497787567846559e-08	0.00417242723440962
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.T_cell	1.4458831586404277e-07	5.675367819073144e-08	0.005422613569300932
Tabula_Muris_Senis.ESmu190820__Trachea.macrophage	7.73609788989745e-08	3.068458783502599e-08	0.005848311609132075
Tabula_Muris_Senis.ESmu190820__Kidney.macrophage	9.783290081378955e-08	4.068448372469458e-08	0.00809345972403956
Tabula_Muris_Senis.ESmu190820__Liver.NK_cell	1.0429630559962297e-07	4.378847815655329e-08	0.00861364052783339
Tabula_Muris_Senis.ESmu190820__Lung.T_cell	1.0536382754124815e-07	4.497600936690643e-08	0.009573223289589322
Tabula_Muris_Senis.ESmu190820__Trachea.fibroblast	3.9771207882327966e-08	1.7116086770620004e-08	0.010073050201895209
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.mesenchymal_stem_cell	4.7942305506529304e-08	2.089706837236857e-08	0.010889161518394532
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.Il6_expressing_cells	7.136713863955889e-08	3.1701703396158934e-08	0.012186172899090374
Tabula_Muris_Senis.ESmu190820__Kidney.T_cell	1.1204384805926159e-07	5.072170040980325e-08	0.013587586589697978
Tabula_Muris_Senis.ESmu190820__Liver.myeloid_leukocyte	7.611931910655295e-08	3.495232412732128e-08	0.014710307666937272
Tabula_Muris_Senis.ESmu190820__Fat.myeloid_cell	4.254906710942462e-08	2.0610182494300134e-08	0.01948667125248888
Tabula_Muris_Senis.ESmu190820__Marrow.granulocytopoietic_cell	4.9019908761143365e-08	2.4538979599436156e-08	0.02287815774456938
Tabula_Muris_Senis.ESmu190820__Thymus.professional_antigen_presenting_cell	5.031087686723469e-08	2.5271585355893972e-08	0.023250994174008336
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.skeletal_muscle_satellite_cell	4.1837995460631236e-08	2.2121040480368947e-08	0.02929073225466517
Tabula_Muris_Senis.ESmu190820__Marrow.immature_B_cell	8.598102347754305e-08	4.746501783038519e-08	0.03503476886546908
Tabula_Muris_Senis.ESmu190820__Marrow.precursor_B_cell	3.2756980780833544e-08	1.8312107402148277e-08	0.03682227034330394
Tabula_Muris_Senis.ESmu190820__Spleen.NK_cell	6.790896719123798e-08	3.825149579918643e-08	0.03792183859258245
Tabula_Muris_Senis.ESmu190820__Lung.stromal_cell	3.785303694031557e-08	2.153700682061597e-08	0.03940940258670336
Tabula_Muris_Senis.ESmu190820__Liver.neutrophil	6.768042479414648e-08	3.8657528577831976e-08	0.03999280488145434
Tabula_Muris_Senis.ESmu190820__Marrow.Cd4+_macrophage	3.9418771265253457e-08	2.252036574039377e-08	0.04002801535278843
Tabula_Muris_Senis.ESmu190820__Liver.B_cell	5.9122011983224257e-08	3.4260161233245926e-08	0.04220266467700414
Tabula_Muris_Senis.ESmu190820__Spleen.B_cell	3.755862189533576e-08	2.2429126854796953e-08	0.04701159546979901
Tabula_Muris_Senis.ESmu190820__Fat.mesenchymal_stem_cell_of_adipose	2.5863660639235102e-08	1.5599757060960024e-08	0.048663498505343177
Tabula_Muris_Senis.ESmu190820__Spleen.granulocyte	6.232339692428659e-08	3.875369638351727e-08	0.05389653225737663
Tabula_Muris_Senis.ESmu190820__Bladder.bladder_cell	2.3963607335220544e-08	1.525249838248536e-08	0.0580766118006182
Tabula_Muris_Senis.ESmu190820__Marrow.nan-marrow-needs-subclustering	2.8489145496009637e-08	1.8164469276145258e-08	0.05839395767002207
Tabula_Muris_Senis.ESmu190820__Fat.B_cell	5.3021496925457936e-08	3.483535661102237e-08	0.06399704513794895
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_B	3.975469398859653e-08	2.7666624576164448e-08	0.07537052852401732
Tabula_Muris_Senis.ESmu190820__Spleen.proerythroblast	5.480209883448346e-08	3.8298426096557865e-08	0.07622614197110403
Tabula_Muris_Senis.ESmu190820__Marrow.early_pro-B_cell	2.2601328071808148e-08	1.6174716691389703e-08	0.08115800431082276
Tabula_Muris_Senis.ESmu190820__Brain_Myeloid.microglial_cell	2.4048360656077205e-08	1.7230940333278343e-08	0.08140996959686198
Tabula_Muris_Senis.ESmu190820__Marrow.erythroid_progenitor	3.16088621162341e-08	2.3050669182505603e-08	0.08514424624855238
Tabula_Muris_Senis.ESmu190820__Lung.myeloid_cell	2.947044377223117e-08	2.198171075777871e-08	0.09001215735360685
Tabula_Muris_Senis.ESmu190820__Large_Intestine.epithelial_cell_of_large_intestine	3.401160962482242e-08	2.6554430509035546e-08	0.10012736423138663
Tabula_Muris_Senis.ESmu190820__Trachea.smooth_muscle_cell_of_trachea	3.101958116815553e-08	2.4272060445104895e-08	0.10062552722385737
Tabula_Muris_Senis.ESmu190820__Marrow.granulocyte	2.5720361932142203e-08	2.029637340158169e-08	0.10253486947298002
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_stellate_cell	4.086583715356266e-08	3.2670355344464746e-08	0.10549391653662338
Tabula_Muris_Senis.ESmu190820__Large_Intestine.intestinal_crypt_stem_cell	1.6362030096246618e-08	1.433935320992536e-08	0.1269229460329795
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.endothelial_cell	2.4231809007141864e-08	2.259366688935099e-08	0.14174675092313122
Tabula_Muris_Senis.ESmu190820__Heart.valve_cell	2.0603808348301383e-08	1.92753071940236e-08	0.14255231033161092
Tabula_Muris_Senis.ESmu190820__Tongue.basal_cell_of_epidermis	1.861912975744265e-08	1.841919717381616e-08	0.15604301864414205
Tabula_Muris_Senis.ESmu190820__Marrow.nan	2.6625189946851554e-08	2.6737514195958288e-08	0.15967390770056938
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_A	2.50750053600477e-08	2.534641005000005e-08	0.1612601034697268
Tabula_Muris_Senis.ESmu190820__Pancreas.leukocyte	2.7418233368451278e-08	2.784677499039695e-08	0.16240765925968348
Tabula_Muris_Senis.ESmu190820__Lung.glial_cell	3.527867831573802e-08	3.6200752190002726e-08	0.1648970045709791
Tabula_Muris_Senis.ESmu190820__Kidney.B_cell	3.9653534506349476e-08	4.285381532181994e-08	0.17739948368452718
Tabula_Muris_Senis.ESmu190820__Large_Intestine.Brush_cell_of_epithelium_proper_of_large_intestine	2.0148053176463376e-08	2.241951736025326e-08	0.18441060025851846
Tabula_Muris_Senis.ESmu190820__Marrow.megakaryocyte-erythroid_progenitor_cell	4.089731669078863e-08	4.604273520010961e-08	0.1872039785921943
Tabula_Muris_Senis.ESmu190820__Lung.granulocyte	2.958228979607514e-08	3.4528171623964784e-08	0.1957893006006337
Tabula_Muris_Senis.ESmu190820__Liver.Kupffer_cell	1.7016194096279764e-08	2.105810172102459e-08	0.20952823438728246
Tabula_Muris_Senis.ESmu190820__Large_Intestine.enterocyte_of_epithelium_of_large_intestine	1.658159426502165e-08	2.1031830742862885e-08	0.2152300104580092
Tabula_Muris_Senis.ESmu190820__Marrow.basophil	2.236839995302013e-08	2.8513479936052003e-08	0.21637776284640803
Tabula_Muris_Senis.ESmu190820__Marrow.Marrow_Cd4_T_cell	1.964204730093553e-08	2.5561898333228444e-08	0.2211214836731576
