Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Tabula_Muris_Senis.ESmu190820__Fat.mesenchymal_stem_cell_of_adipose	6.887948414114931e-09	2.7045283074422666e-09	0.005435465139521287
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.interneuron	5.7991991188209796e-09	2.473338016669414e-09	0.00952157439981484
Tabula_Muris_Senis.ESmu190820__Trachea.fibroblast	6.260879211681667e-09	2.788876927007418e-09	0.01238578692148324
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.oligodendrocyte_precursor_cell	5.7998423086779485e-09	2.9299433359052888e-09	0.02387949600600456
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.Bergmann_glial_cell	5.299457200983125e-09	2.7852265788026718e-09	0.02853969653328756
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.mesenchymal_stem_cell	6.156871884609693e-09	3.3401110869052184e-09	0.03264162502049426
Tabula_Muris_Senis.ESmu190820__Bladder.bladder_cell	5.740790442856542e-09	3.254677705711417e-09	0.03887791544664652
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.neuron	3.4436915713539506e-09	1.9792153792418573e-09	0.0409358610824885
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_stellate_cell	1.1775281877155553e-08	6.909124335138979e-09	0.0441616995176818
Tabula_Muris_Senis.ESmu190820__Heart.fibroblast_of_cardiac_tissue	4.578635870202966e-09	3.007079490976548e-09	0.0639270474249308
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.astrocyte	3.6202693570336422e-09	2.5743211577975175e-09	0.07981744285969294
Tabula_Muris_Senis.ESmu190820__Trachea.chondrocyte	5.470261805335533e-09	4.0897877481891154e-09	0.09052293415585844
Tabula_Muris_Senis.ESmu190820__Thymus.thymocyte	4.21608053809169e-09	3.2131162574980298e-09	0.09473528699296702
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.Il6_expressing_cells	3.868531711831194e-09	3.091892717135651e-09	0.10543338136925862
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.oligodendrocyte	3.1335713188485063e-09	2.5231646342830605e-09	0.10713284291188158
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.brain_pericyte	4.332279076186485e-09	3.925365990540274e-09	0.13486979340187027
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.skeletal_muscle_satellite_cell	3.3305715825633264e-09	3.0647562909850264e-09	0.13857742827594888
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_B_cell	2.084201205908972e-09	1.9810713572901695e-09	0.14638655852788723
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.nan	3.783326571073853e-09	3.6178230214170365e-09	0.1478389922559772
Tabula_Muris_Senis.ESmu190820__Marrow.HSC_enriched_fraction	2.960542447049136e-09	2.9397303570475766e-09	0.1569482638609797
Tabula_Muris_Senis.ESmu190820__Thymus.epithelial_cell_of_thymus	3.4215810993930554e-09	3.562592210578513e-09	0.16842220020729182
Tabula_Muris_Senis.ESmu190820__Heart.valve_cell	3.1199223011870476e-09	3.6088364108351506e-09	0.1936503087625452
Tabula_Muris_Senis.ESmu190820__Thymus.endothelial_cell	3.973111816513727e-09	4.880345311966903e-09	0.20779250086292111
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_A	2.815101292795831e-09	3.5492034724342263e-09	0.2138410680731277
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_PP_cell	3.0223873733306456e-09	3.876139246619883e-09	0.2177714666828462
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.medium_spiny_neuron	1.5441724729071042e-09	2.1805054275108908e-09	0.23941928527744
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.ependymal_cell	1.9268676987495933e-09	3.0418689187791216e-09	0.26322035845696645
Tabula_Muris_Senis.ESmu190820__Skin.keratinocyte_stem_cell	2.243635085290968e-09	3.839534994426559e-09	0.27949218323033176
Tabula_Muris_Senis.ESmu190820__Heart.smooth_muscle_cell	1.9517383745932468e-09	3.4532515681613165e-09	0.2859727493193579
Tabula_Muris_Senis.ESmu190820__Lung.monocyte	2.2396330168035283e-09	4.096442541814582e-09	0.29228337943892013
Tabula_Muris_Senis.ESmu190820__Lung.macrophage	2.391817595938719e-09	4.6361079590601115e-09	0.30295839827975424
Tabula_Muris_Senis.ESmu190820__Liver.T_cell	3.656789511151351e-09	7.141886681471423e-09	0.30431847220729213
Tabula_Muris_Senis.ESmu190820__Pancreas.leukocyte	1.971687163884547e-09	3.949867588082791e-09	0.30882698151493304
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.neuronal_stem_cell	2.038228217739311e-09	4.2645920411356284e-09	0.31634569602175083
Tabula_Muris_Senis.ESmu190820__Lung.glial_cell	1.518423402128763e-09	3.394980376289355e-09	0.3273453224488517
Tabula_Muris_Senis.ESmu190820__Marrow.Marrow_Cd4_T_cell	1.497885735263036e-09	3.360500198845882e-09	0.3278950727915626
Tabula_Muris_Senis.ESmu190820__Kidney.mesangial_cell	2.2546926592022828e-09	5.0746938016084345e-09	0.3284124088003216
Tabula_Muris_Senis.ESmu190820__Trachea.smooth_muscle_cell_of_trachea	1.2639686454887283e-09	3.765419616095026e-09	0.3685568368253581
Tabula_Muris_Senis.ESmu190820__Kidney.kidney_collecting_duct_epithelial_cell	1.1335553210461984e-09	3.6382847269852192e-09	0.3776862850587532
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_B	8.18918958862363e-10	3.4144047266668334e-09	0.40522622525519447
Tabula_Muris_Senis.ESmu190820__Kidney.macrophage	1.0738347054111108e-09	5.705275919546953e-09	0.42535294438532895
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.endothelial_cell	7.215972845152503e-10	3.844562130463542e-09	0.42555867073965886
Tabula_Muris_Senis.ESmu190820__Marrow.granulocytopoietic_cell	6.16294567423033e-10	3.3613379599598064e-09	0.42726248996278854
Tabula_Muris_Senis.ESmu190820__Lung.T_cell	7.946475683287758e-10	5.0559112163256325e-09	0.43755465591104153
Tabula_Muris_Senis.ESmu190820__Kidney.fenestrated_cell	5.57975789453671e-10	3.6895592136800288e-09	0.4398967421117681
Tabula_Muris_Senis.ESmu190820__Brain_Myeloid.macrophage	4.4798977498245514e-10	3.422076635767564e-09	0.4479225905121146
Tabula_Muris_Senis.ESmu190820__Pancreas.endothelial_cell	5.286714264057533e-10	4.5494071615088325e-09	0.4537443779767097
Tabula_Muris_Senis.ESmu190820__Kidney.T_cell	8.006227015995434e-10	7.107102265643861e-09	0.4551535958576928
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_acinar_cell	2.565397601351617e-10	2.9805619416517513e-09	0.4657050132529557
Tabula_Muris_Senis.ESmu190820__Marrow.immature_B_cell	3.2618187196102035e-10	4.742729927768543e-09	0.4725843069055542
Tabula_Muris_Senis.ESmu190820__Large_Intestine.enteroendocrine_cell	2.575596791076388e-10	3.998829342572502e-09	0.4743223735677693
Tabula_Muris_Senis.ESmu190820__Skin.basal_cell_of_epidermis	-2.9022043727302435e-12	3.837815996664485e-09	0.5003016851045761
Tabula_Muris_Senis.ESmu190820__Trachea.endothelial_cell	-2.1972250714405536e-10	4.195846559906192e-09	0.5208817339476316
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_A_cell	-1.897861870821173e-10	2.3098770665533847e-09	0.5327414104606771
Tabula_Muris_Senis.ESmu190820__Liver.myeloid_leukocyte	-6.692063077887837e-10	5.359887585437957e-09	0.5496806464110426
Tabula_Muris_Senis.ESmu190820__Liver.endothelial_cell_of_hepatic_sinusoid	-5.483717704714523e-10	3.4026714122209974e-09	0.5640159889310606
Tabula_Muris_Senis.ESmu190820__Marrow.Cd4+_macrophage	-4.376895644447817e-10	2.6691610709360412e-09	0.5651266342747711
Tabula_Muris_Senis.ESmu190820__Kidney.Kidney-new-24m-cluster	-5.694295235899048e-10	2.741989433027602e-09	0.5822567605492146
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.macrophage	-1.0919375364368406e-09	4.747224934130847e-09	0.590960318983111
Tabula_Muris_Senis.ESmu190820__Spleen.NK_cell	-1.2993178978337595e-09	4.983036329893566e-09	0.6028566645705514
Tabula_Muris_Senis.ESmu190820__Trachea.macrophage	-1.1106891352435834e-09	3.809736015541587e-09	0.6146806911435196
Tabula_Muris_Senis.ESmu190820__Kidney.epithelial_cell_of_proximal_tubule	-9.946837496311542e-10	2.8810862589415375e-09	0.6350453120726003
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_D_cell	-8.648699491188454e-10	2.3658851734643893e-09	0.6426528075941594
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.macrophage	-1.9198766021552203e-09	5.1849409737825725e-09	0.6444128228483754
Tabula_Muris_Senis.ESmu190820__Kidney.kidney_loop_of_Henle_ascending_limb_epithelial_cell	-1.9825632237432285e-09	4.699418076980928e-09	0.6634415772924471
Tabula_Muris_Senis.ESmu190820__Liver.hepatocyte	-1.3453842958540954e-09	3.1501728350854093e-09	0.6653404506508129
Tabula_Muris_Senis.ESmu190820__Marrow.nan-marrow-needs-subclustering	-1.0898212696788768e-09	2.5330864798338728e-09	0.6664874766492201
