Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.Bergmann_glial_cell	7.0440855524081925e-09	3.899475179966155e-09	0.03542646803944083
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.nan	7.991164815879143e-09	4.900206075376848e-09	0.05146822907641183
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.oligodendrocyte_precursor_cell	4.94288540958574e-09	3.048018159596904e-09	0.052436808951981474
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.skeletal_muscle_satellite_cell	5.627586530048819e-09	3.492352176713107e-09	0.05354596452151056
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_B_cell	3.7655591083130565e-09	2.4033127734585838e-09	0.05857835695421056
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.ependymal_cell	7.057990896100867e-09	4.854130624587149e-09	0.07297072663326579
Tabula_Muris_Senis.ESmu190820__Fat.mesenchymal_stem_cell_of_adipose	4.345169849330468e-09	3.0166226341087246e-09	0.07487588486667526
Tabula_Muris_Senis.ESmu190820__Skin.keratinocyte_stem_cell	1.063628147133587e-08	7.405241393100607e-09	0.07545593788715067
Tabula_Muris_Senis.ESmu190820__Trachea.fibroblast	5.223739588250376e-09	3.6738267115912183e-09	0.07753058998756619
Tabula_Muris_Senis.ESmu190820__Pancreas.leukocyte	7.782931121289356e-09	5.562304075293466e-09	0.08087232439246161
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.mesenchymal_stem_cell	4.957805452930915e-09	3.6688597929623536e-09	0.08829639384176902
Tabula_Muris_Senis.ESmu190820__Skin.basal_cell_of_epidermis	5.708985066697983e-09	4.295581665054124e-09	0.0919179546732225
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.oligodendrocyte	5.06828796673805e-09	3.9444880799700205e-09	0.09941294064918721
Tabula_Muris_Senis.ESmu190820__Heart.fibroblast_of_cardiac_tissue	4.911009384706142e-09	3.986936939632231e-09	0.10901656589477227
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.interneuron	3.6320506001464414e-09	3.1958588708287625e-09	0.12787649718185234
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_PP_cell	4.348003272536023e-09	4.021472443111375e-09	0.13980478307747873
Tabula_Muris_Senis.ESmu190820__Thymus.nan	5.4887012861703445e-09	5.176390108029737e-09	0.14449638844947904
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.Il6_expressing_cells	3.889064307049351e-09	3.882122346908528e-09	0.1582229519272309
Tabula_Muris_Senis.ESmu190820__Trachea.ciliated_columnar_cell_of_tracheobronchial_tree	6.465156144336428e-09	7.150760705018541e-09	0.18296550253123828
Tabula_Muris_Senis.ESmu190820__Marrow.granulocytopoietic_cell	3.1491655442360343e-09	3.5015033118547714e-09	0.18422639912574013
Tabula_Muris_Senis.ESmu190820__Trachea.chondrocyte	5.1776375303824344e-09	5.7772709081171686e-09	0.18507078993832193
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_A_cell	2.4481549106388703e-09	2.8920127427434293e-09	0.1986305621564763
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.neuron	2.004405669173116e-09	2.3886639248485353e-09	0.20069746387860699
Tabula_Muris_Senis.ESmu190820__Lung.epithelial_cell	3.897060959708286e-09	4.734203172153442e-09	0.20520524676207125
Tabula_Muris_Senis.ESmu190820__Lung.macrophage	5.9472029977214835e-09	7.303989460338048e-09	0.20775363459976448
Tabula_Muris_Senis.ESmu190820__Thymus.endothelial_cell	3.882167842931595e-09	5.0497855958542444e-09	0.2210123338524253
Tabula_Muris_Senis.ESmu190820__Lung.glial_cell	2.8102293216660245e-09	3.794979119964248e-09	0.22949455194354246
Tabula_Muris_Senis.ESmu190820__Thymus.epithelial_cell_of_thymus	2.9025589575338577e-09	4.133478637479689e-09	0.24127494054684745
Tabula_Muris_Senis.ESmu190820__Marrow.nan	2.959692565046885e-09	4.305217768182068e-09	0.24589443326658839
Tabula_Muris_Senis.ESmu190820__Skin.epidermal_cell	3.2902551274684044e-09	4.856165573633184e-09	0.24903113154432982
Tabula_Muris_Senis.ESmu190820__Liver.T_cell	6.4869152595437145e-09	9.988444205189588e-09	0.25802635953558567
Tabula_Muris_Senis.ESmu190820__Tongue.keratinocyte	1.8631058292496653e-09	3.031700630902848e-09	0.2694287817365436
Tabula_Muris_Senis.ESmu190820__Heart.leukocyte	1.6334937919436321e-09	2.917355014190604e-09	0.2877660243268093
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_stellate_cell	5.999002567230287e-09	1.0951291651380574e-08	0.2919182249141895
Tabula_Muris_Senis.ESmu190820__Large_Intestine.intestinal_crypt_stem_cell	1.0448717806056106e-09	2.571589043339133e-09	0.3422560714189298
Tabula_Muris_Senis.ESmu190820__Liver.myeloid_leukocyte	2.8038763796590552e-09	8.200356378455072e-09	0.3662050659356177
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_B	1.2578104838600955e-09	4.505487102221253e-09	0.390056020212194
Tabula_Muris_Senis.ESmu190820__Bladder.bladder_cell	9.255159034293555e-10	3.367603565024561e-09	0.39172371910280407
Tabula_Muris_Senis.ESmu190820__Fat.epithelial_cell	9.10472660687601e-10	3.936972285572367e-09	0.40855557624171435
Tabula_Muris_Senis.ESmu190820__Kidney.macrophage	1.1024699878130815e-09	6.090844655161118e-09	0.42818204149545736
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.brain_pericyte	7.226711779988243e-10	4.391048954561221e-09	0.43463797359112044
Tabula_Muris_Senis.ESmu190820__Marrow.early_pro-B_cell	3.785859369898662e-10	2.7481580611902333e-09	0.4452150947808059
Tabula_Muris_Senis.ESmu190820__Tongue.basal_cell_of_epidermis	3.8717793467398274e-10	2.8557026928384096e-09	0.44607641444579754
Tabula_Muris_Senis.ESmu190820__Kidney.fenestrated_cell	3.523224925150384e-10	3.959235574053378e-09	0.4645459204377081
Tabula_Muris_Senis.ESmu190820__Lung.monocyte	1.6640389334923333e-10	5.228759143202086e-09	0.4873059090064372
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.astrocyte	9.659053921468134e-11	3.2155865135833427e-09	0.48801828041289197
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.endothelial_cell	1.1898853885894457e-10	4.309861744959552e-09	0.4889872269431064
Tabula_Muris_Senis.ESmu190820__Lung.granulocyte	5.849081709487141e-11	4.495568633317979e-09	0.4948095995121602
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_ductal_cell	-5.143387010159924e-11	3.4582699831843834e-09	0.5059331368251826
Tabula_Muris_Senis.ESmu190820__Brain_Myeloid.macrophage	-1.306947151856098e-10	3.933392397806952e-09	0.5132532048824879
Tabula_Muris_Senis.ESmu190820__Marrow.HSC_enriched_fraction	-1.6650460384017688e-10	3.0139118280459426e-09	0.5220284986809902
Tabula_Muris_Senis.ESmu190820__Heart.ventricular_myocyte	-2.96474282383775e-10	3.559320151678644e-09	0.5331915913917474
Tabula_Muris_Senis.ESmu190820__Fat.endothelial_cell	-5.392043884232345e-10	4.125537796476905e-09	0.5519933576903351
Tabula_Muris_Senis.ESmu190820__Liver.hepatocyte	-4.2813898007995366e-10	2.967327852716679e-09	0.5573620333364272
Tabula_Muris_Senis.ESmu190820__Marrow.erythroid_progenitor	-7.655833495051964e-10	3.6471978401063203e-09	0.5831310468266601
Tabula_Muris_Senis.ESmu190820__Trachea.endothelial_cell	-1.0408340184103966e-09	4.3617976781239006e-09	0.5943018152894873
Tabula_Muris_Senis.ESmu190820__Thymus.thymocyte	-9.287569841703275e-10	3.600381056074044e-09	0.6017813989654152
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_acinar_cell	-8.431466823547227e-10	3.2661750583103652e-09	0.6018524891820426
Tabula_Muris_Senis.ESmu190820__Marrow.megakaryocyte-erythroid_progenitor_cell	-1.527531258899638e-09	5.834003283251028e-09	0.6032746824261492
Tabula_Muris_Senis.ESmu190820__Marrow.immature_B_cell	-1.3715775709757028e-09	4.6954665430127655e-09	0.6148975051405781
Tabula_Muris_Senis.ESmu190820__Marrow.Marrow_Cd4_T_cell	-1.3001125126333282e-09	4.283706435124539e-09	0.6192462530467006
Tabula_Muris_Senis.ESmu190820__Liver.endothelial_cell_of_hepatic_sinusoid	-1.7119496625016903e-09	5.268815052551473e-09	0.6273796409164605
Tabula_Muris_Senis.ESmu190820__Trachea.granulocyte	-1.6812585792340325e-09	5.0304196158710995e-09	0.630892603616879
Tabula_Muris_Senis.ESmu190820__Spleen.granulocyte	-1.7461184069491884e-09	5.182786595804377e-09	0.631906592105957
Tabula_Muris_Senis.ESmu190820__Brain_Myeloid.microglial_cell	-1.209008479094136e-09	3.3943564628692693e-09	0.6391478429897526
Tabula_Muris_Senis.ESmu190820__Kidney.kidney_collecting_duct_epithelial_cell	-1.5116964023908762e-09	4.0883396069194434e-09	0.6442186055558542
Tabula_Muris_Senis.ESmu190820__Lung.T_cell	-1.7203176515244037e-09	4.518769790502595e-09	0.648288871443503
Tabula_Muris_Senis.ESmu190820__Kidney.kidney_collecting_duct_principal_cell	-2.386533498101761e-09	5.7050252147955036e-09	0.662143886536001
Tabula_Muris_Senis.ESmu190820__Fat.myeloid_cell	-1.1506333318469418e-09	2.7429999478967867e-09	0.6625672776958567
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_D_cell	-1.2009525311155047e-09	2.7696730629880204e-09	0.6677134553158834
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.macrophage	-2.1847472017285054e-09	4.941968486131411e-09	0.6707844716038872
Tabula_Muris_Senis.ESmu190820__Bladder.bladder_urothelial_cell	-1.443949020734593e-09	2.851734382722326e-09	0.6936912320167371
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.B_cell	-3.077253842923509e-09	5.444138454991397e-09	0.7140452970367551
