Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.mesenchymal_stem_cell	1.6013724694396867e-08	4.73649769893182e-09	0.00036121650715185467
Tabula_Muris_Senis.ESmu190820__Fat.mesenchymal_stem_cell_of_adipose	1.1822384156277387e-08	3.751488410853133e-09	0.0008124908066836616
Tabula_Muris_Senis.ESmu190820__Trachea.fibroblast	1.1788882863320507e-08	3.963870630777241e-09	0.001469324726917903
Tabula_Muris_Senis.ESmu190820__Bladder.bladder_cell	1.0894229153138415e-08	4.231060659363558e-09	0.005014580545816594
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_stellate_cell	2.3863718753244874e-08	9.810806126269594e-09	0.007499748000349842
Tabula_Muris_Senis.ESmu190820__Heart.fibroblast_of_cardiac_tissue	7.339496981900008e-09	4.211589210594535e-09	0.04069383614111783
Tabula_Muris_Senis.ESmu190820__Trachea.chondrocyte	9.583122208162792e-09	5.584486273748287e-09	0.04307866540939411
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.brain_pericyte	9.650837709423196e-09	5.810886122675849e-09	0.048374770118034975
Tabula_Muris_Senis.ESmu190820__Thymus.thymocyte	6.8618814070986844e-09	4.34048281439299e-09	0.05695013273645444
Tabula_Muris_Senis.ESmu190820__Heart.smooth_muscle_cell	7.542661273989428e-09	5.0952226794968695e-09	0.06939128421222489
Tabula_Muris_Senis.ESmu190820__Thymus.endothelial_cell	1.0845183167600043e-08	7.370717051191641e-09	0.07059313504467173
Tabula_Muris_Senis.ESmu190820__Marrow.HSC_enriched_fraction	6.150397487175754e-09	4.279833735488905e-09	0.07534982162044578
Tabula_Muris_Senis.ESmu190820__Kidney.fenestrated_cell	6.276747119446822e-09	4.749318563652729e-09	0.09314901840877754
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.skeletal_muscle_satellite_cell	4.598121922262196e-09	3.6534810556128345e-09	0.10409480930708015
Tabula_Muris_Senis.ESmu190820__Marrow.Marrow_Cd4_T_cell	4.9254407610218336e-09	4.3981787393778725e-09	0.13138204627843975
Tabula_Muris_Senis.ESmu190820__Heart.valve_cell	4.779052365018225e-09	4.456450495501249e-09	0.1417724781226099
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.endothelial_cell	4.2336397050333884e-09	4.236711931355401e-09	0.15883078117358052
Tabula_Muris_Senis.ESmu190820__Lung.endothelial_cell	4.159875583665481e-09	4.196657642648255e-09	0.16078532624684783
Tabula_Muris_Senis.ESmu190820__Heart.endocardial_cell	3.969029619519271e-09	4.0959842731927885e-09	0.1662713241694559
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_A	4.982817697768084e-09	5.145451678131874e-09	0.16642414899049818
Tabula_Muris_Senis.ESmu190820__Kidney.Kidney-new-24m-cluster	3.77807195090251e-09	3.982072945132154e-09	0.17136876301326193
Tabula_Muris_Senis.ESmu190820__Liver.endothelial_cell_of_hepatic_sinusoid	4.09732306109327e-09	4.3550234140279e-09	0.173396793532139
Tabula_Muris_Senis.ESmu190820__Lung.myeloid_cell	3.775505936112836e-09	4.159640081645083e-09	0.1820310369174027
Tabula_Muris_Senis.ESmu190820__Kidney.mesangial_cell	5.718740237731432e-09	6.630822436244182e-09	0.1942204895991802
Tabula_Muris_Senis.ESmu190820__Thymus.epithelial_cell_of_thymus	4.163381424405546e-09	4.8300853895537346e-09	0.1943524279909417
Tabula_Muris_Senis.ESmu190820__Liver.T_cell	8.93980970117973e-09	1.0880942694898206e-08	0.2056515835000991
Tabula_Muris_Senis.ESmu190820__Lung.T_cell	6.713310543609257e-09	8.184219605538096e-09	0.2060296841569274
Tabula_Muris_Senis.ESmu190820__Trachea.endothelial_cell	4.935362801588008e-09	6.191138965318729e-09	0.21267744053443083
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.endothelial_cell	4.314345850273139e-09	5.597060498823047e-09	0.22040577341083445
Tabula_Muris_Senis.ESmu190820__Kidney.kidney_collecting_duct_epithelial_cell	3.7236809931898026e-09	4.897284265947019e-09	0.22352081564782061
Tabula_Muris_Senis.ESmu190820__Marrow.late_pro-B_cell	3.158474894882787e-09	4.245785732353002e-09	0.22846600188601213
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.Il6_expressing_cells	2.8157944501452964e-09	3.845968002537391e-09	0.23204097069576618
Tabula_Muris_Senis.ESmu190820__Marrow.immature_B_cell	4.625006041177184e-09	7.744664063206243e-09	0.27519155570206144
Tabula_Muris_Senis.ESmu190820__Fat.endothelial_cell	2.705460521385504e-09	4.94149277713258e-09	0.2920181060104675
Tabula_Muris_Senis.ESmu190820__Kidney.epithelial_cell_of_proximal_tubule	2.2023714214451716e-09	4.070985315638277e-09	0.29425646938315875
Tabula_Muris_Senis.ESmu190820__Pancreas.endothelial_cell	1.9684920292909137e-09	4.004681378227046e-09	0.31151955223170863
Tabula_Muris_Senis.ESmu190820__Liver.hepatocyte	2.0082316673483472e-09	4.24396394393638e-09	0.3180362633957743
Tabula_Muris_Senis.ESmu190820__Lung.macrophage	2.3087018487731496e-09	5.043362868815515e-09	0.3235587295717496
Tabula_Muris_Senis.ESmu190820__Marrow.Cd4+_macrophage	1.6099842037192596e-09	3.6840961918185726e-09	0.3310523110101099
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_acinar_cell	1.2974174240458658e-09	3.844465122553696e-09	0.36787878477466796
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.macrophage	2.288885880795865e-09	7.847985547388566e-09	0.38527610303697757
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_B	1.043918072635697e-09	4.726460905717706e-09	0.4125980927608351
Tabula_Muris_Senis.ESmu190820__Lung.monocyte	1.1668861913130792e-09	5.426431181227938e-09	0.41486904108320954
Tabula_Muris_Senis.ESmu190820__Skin.keratinocyte_stem_cell	7.835298188416575e-10	3.9262156336133916e-09	0.42091093980885186
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.neuronal_stem_cell	1.1281514949750839e-09	5.9004464752647015e-09	0.42418537267627343
Tabula_Muris_Senis.ESmu190820__Marrow.megakaryocyte-erythroid_progenitor_cell	1.5454793444364658e-09	8.484244606464117e-09	0.4277290742407005
Tabula_Muris_Senis.ESmu190820__Fat.T_cell	7.792897699231416e-10	5.4747148153323836e-09	0.44340436566825014
Tabula_Muris_Senis.ESmu190820__Brain_Myeloid.microglial_cell	6.660076074630863e-10	4.862731331917128e-09	0.445530562193643
Tabula_Muris_Senis.ESmu190820__Skin.basal_cell_of_epidermis	4.866843043483634e-10	5.2755134112913164e-09	0.4632483366817363
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.oligodendrocyte_precursor_cell	2.620372162510728e-10	3.4458691707420385e-09	0.4696920992732105
Tabula_Muris_Senis.ESmu190820__Lung.B_cell	4.0109504384216644e-10	5.438838286257604e-09	0.4706060667606601
Tabula_Muris_Senis.ESmu190820__Marrow.granulocytopoietic_cell	2.775854643826676e-10	4.025983270929908e-09	0.4725153107317779
Tabula_Muris_Senis.ESmu190820__Kidney.macrophage	2.924306760972244e-10	7.1428406816828856e-09	0.48367170932788806
Tabula_Muris_Senis.ESmu190820__Kidney.T_cell	2.0313443342246365e-10	1.0038912381566325e-08	0.49192807136697503
Tabula_Muris_Senis.ESmu190820__Heart.endothelial_cell_of_coronary_artery	2.6784629615914073e-11	4.720095336517535e-09	0.4977361762613511
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_ductal_cell	-8.367795901608584e-12	4.58765913500041e-09	0.5007276621103864
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.Bergmann_glial_cell	-5.1245112884596246e-11	2.943876082078119e-09	0.5069441814809172
Tabula_Muris_Senis.ESmu190820__Kidney.kidney_loop_of_Henle_ascending_limb_epithelial_cell	-1.0580476995667612e-10	5.819143181373521e-09	0.507253244900283
Tabula_Muris_Senis.ESmu190820__Pancreas.leukocyte	-1.0398557630345174e-10	3.986971255440855e-09	0.5104037720811733
Tabula_Muris_Senis.ESmu190820__Marrow.erythroid_progenitor	-1.9426426976126415e-10	3.4297344651297473e-09	0.5225844921233666
Tabula_Muris_Senis.ESmu190820__Fat.NK_cell	-3.628131497565732e-10	5.207942757406537e-09	0.5277699888796348
Tabula_Muris_Senis.ESmu190820__Trachea.macrophage	-4.5921823312546034e-10	5.124546200386986e-09	0.5357020242492999
Tabula_Muris_Senis.ESmu190820__Liver.myeloid_leukocyte	-7.242568093479858e-10	7.4500370153987926e-09	0.538722249765523
Tabula_Muris_Senis.ESmu190820__Lung.lymphocyte	-6.271789300429427e-10	6.1805361155229105e-09	0.5404138786236701
Tabula_Muris_Senis.ESmu190820__Brain_Myeloid.macrophage	-5.445572926572799e-10	4.8836384937028765e-09	0.5443926326419092
Tabula_Muris_Senis.ESmu190820__Fat.B_cell	-5.265693295260288e-10	3.997315015390997e-09	0.5524013711925644
Tabula_Muris_Senis.ESmu190820__Trachea.mucus_secreting_cell	-6.761290419479515e-10	5.019858020537374e-09	0.5535718537871339
Tabula_Muris_Senis.ESmu190820__Lung.epithelial_cell	-7.515784446609737e-10	4.1599365967844455e-09	0.5716869508315825
Tabula_Muris_Senis.ESmu190820__Marrow.naive_B_cell	-8.661357609275244e-10	4.432625037682361e-09	0.5774601648565828
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.macrophage	-1.2500662679927343e-09	6.370201818369849e-09	0.5777874794864432
Tabula_Muris_Senis.ESmu190820__Tongue.keratinocyte	-1.0467655628180978e-09	4.198404396282336e-09	0.5984451540940048
Tabula_Muris_Senis.ESmu190820__Lung.glial_cell	-1.5154940826198848e-09	4.396972341763072e-09	0.634827875919999
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.ependymal_cell	-1.4487612678239957e-09	3.7188474365103488e-09	0.6515737119414371
Tabula_Muris_Senis.ESmu190820__Spleen.T_cell	-2.512428458881096e-09	6.341781371187542e-09	0.6540104763517185
Tabula_Muris_Senis.ESmu190820__Kidney.B_cell	-2.3678304403886797e-09	5.425197845143095e-09	0.668745055575429
Tabula_Muris_Senis.ESmu190820__Spleen.NK_cell	-2.9246547410514266e-09	6.500916929790705e-09	0.6736027483509575
Tabula_Muris_Senis.ESmu190820__Trachea.smooth_muscle_cell_of_trachea	-1.944994675390311e-09	4.186922869888926e-09	0.6788696763660284
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.interneuron	-1.299454306283213e-09	2.733833729348878e-09	0.6827216494727512
Tabula_Muris_Senis.ESmu190820__Marrow.nan-marrow-needs-subclustering	-1.8467579420234526e-09	3.282406196326676e-09	0.7131542613124094
Tabula_Muris_Senis.ESmu190820__Liver.NK_cell	-3.3134552742709768e-09	5.7990622263382996e-09	0.71612820452091
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.astrocyte	-1.8687946484604427e-09	3.199997338082337e-09	0.7203894448275582
Tabula_Muris_Senis.ESmu190820__Fat.epithelial_cell	-1.658538537400658e-09	2.7724427689981417e-09	0.72515436731894
Tabula_Muris_Senis.ESmu190820__Heart.leukocyte	-1.926473981834896e-09	2.991615850491919e-09	0.7401985592196321
Tabula_Muris_Senis.ESmu190820__Skin.epidermal_cell	-3.1620785234152417e-09	4.824302340374438e-09	0.7439102689716715
Tabula_Muris_Senis.ESmu190820__Large_Intestine.intestinal_crypt_stem_cell	-2.153816864245818e-09	3.209651588680203e-09	0.7489036928612789
Tabula_Muris_Senis.ESmu190820__Trachea.T_cell	-4.415811923253479e-09	6.417582840154373e-09	0.7542988725411957
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_B_cell	-1.961962037289798e-09	2.756529475789177e-09	0.7616904454092139
Tabula_Muris_Senis.ESmu190820__Tongue.basal_cell_of_epidermis	-2.539995027377531e-09	3.5368316001750374e-09	0.7636692902874743
Tabula_Muris_Senis.ESmu190820__Lung.stromal_cell	-2.628994997348392e-09	3.5941007022978003e-09	0.7677554811640772
Tabula_Muris_Senis.ESmu190820__Thymus.DN4_thymocyte	-3.0245785814756325e-09	3.85975400105553e-09	0.7833683010309646
Tabula_Muris_Senis.ESmu190820__Thymus.professional_antigen_presenting_cell	-2.875009545257129e-09	3.619932989807604e-09	0.7864652202531575
Tabula_Muris_Senis.ESmu190820__Liver.Kupffer_cell	-2.9330274065076497e-09	3.4185327123325816e-09	0.8045478191485215
Tabula_Muris_Senis.ESmu190820__Kidney.kidney_collecting_duct_principal_cell	-4.942565801564984e-09	5.729897024529168e-09	0.8058192032138605
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.nan	-3.79659875451185e-09	4.232534306957708e-09	0.8151415173622217
Tabula_Muris_Senis.ESmu190820__Liver.neutrophil	-4.65996903763919e-09	5.012084519105529e-09	0.8237488753758301
Tabula_Muris_Senis.ESmu190820__Trachea.basal_epithelial_cell_of_tracheobronchial_tree	-5.525090698856837e-09	5.9391944738898755e-09	0.8238859266536606
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.B_cell	-5.525910645842301e-09	5.582393732426266e-09	0.8388840820563999
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.oligodendrocyte	-2.6551383728061295e-09	2.529947305080073e-09	0.8530222155085945
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_A_cell	-3.151047638616165e-09	2.9851909264414623e-09	0.8544153201654165
Tabula_Muris_Senis.ESmu190820__Large_Intestine.epithelial_cell_of_large_intestine	-3.8628630008263375e-09	3.599934221226634e-09	0.8583727661841616
Tabula_Muris_Senis.ESmu190820__Spleen.proerythroblast	-5.06511983620221e-09	4.453026759428724e-09	0.8723260440206567
Tabula_Muris_Senis.ESmu190820__Lung.nan	-4.7653127791283385e-09	4.074383476093047e-09	0.878914755528805
Tabula_Muris_Senis.ESmu190820__Fat.myeloid_cell	-3.1890193663276747e-09	2.719435828943247e-09	0.8795372852788381
Tabula_Muris_Senis.ESmu190820__Marrow.early_pro-B_cell	-3.203663606618511e-09	2.5271168830233406e-09	0.897550100590714
Tabula_Muris_Senis.ESmu190820__Heart.ventricular_myocyte	-3.651973440614868e-09	2.8740003960855563e-09	0.8980811343015853
Tabula_Muris_Senis.ESmu190820__Heart.atrial_myocyte	-4.524007862635622e-09	3.497699448507884e-09	0.9020677459443669
Tabula_Muris_Senis.ESmu190820__Bladder.bladder_urothelial_cell	-4.8301733940805615e-09	3.733828927174636e-09	0.9021024599359833
Tabula_Muris_Senis.ESmu190820__Spleen.B_cell	-4.287809861359485e-09	3.311785241131456e-09	0.9022902927421101
Tabula_Muris_Senis.ESmu190820__Large_Intestine.Brush_cell_of_epithelium_proper_of_large_intestine	-6.525983566466845e-09	5.029703730172961e-09	0.9027684482460757
Tabula_Muris_Senis.ESmu190820__Large_Intestine.enteroendocrine_cell	-5.021264649245319e-09	3.8070738748042135e-09	0.9064037730969299
Tabula_Muris_Senis.ESmu190820__Liver.B_cell	-5.834875451804945e-09	4.231997654558826e-09	0.9160143927078174
