Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.mesenchymal_stem_cell	1.1954021048893305e-08	4.729432194209525e-09	0.005742572965817559
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.skeletal_muscle_satellite_cell	7.221360164056966e-09	3.633062912115636e-09	0.023423642452577196
Tabula_Muris_Senis.ESmu190820__Marrow.granulocytopoietic_cell	8.708421129799333e-09	4.615215138449791e-09	0.029587301236116796
Tabula_Muris_Senis.ESmu190820__Trachea.fibroblast	7.678931152829868e-09	4.146591054686043e-09	0.03202253083952529
Tabula_Muris_Senis.ESmu190820__Trachea.chondrocyte	1.0777359433531078e-08	6.404256157261543e-09	0.04620271713672227
Tabula_Muris_Senis.ESmu190820__Thymus.endothelial_cell	1.001393597938213e-08	6.5568097635168866e-09	0.06334851380206281
Tabula_Muris_Senis.ESmu190820__Lung.T_cell	1.0286923182273771e-08	7.163587728572867e-09	0.07550094810876191
Tabula_Muris_Senis.ESmu190820__Fat.mesenchymal_stem_cell_of_adipose	4.64312504075754e-09	3.642726230221354e-09	0.10122026730439937
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.Bergmann_glial_cell	4.020865028178708e-09	3.431505159349561e-09	0.12064878798485829
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_stellate_cell	1.4457774050697824e-08	1.2787400854874265e-08	0.12910616811607828
Tabula_Muris_Senis.ESmu190820__Liver.T_cell	1.4128915946874233e-08	1.3099048644429913e-08	0.14037823877600736
Tabula_Muris_Senis.ESmu190820__Bladder.bladder_cell	4.0995019952354425e-09	3.854622439195067e-09	0.14377110480759597
Tabula_Muris_Senis.ESmu190820__Lung.epithelial_cell	3.312587051121939e-09	3.3857680339089145e-09	0.16394179734200326
Tabula_Muris_Senis.ESmu190820__Kidney.fenestrated_cell	4.602284082853059e-09	4.972701062658284e-09	0.177350367195872
Tabula_Muris_Senis.ESmu190820__Thymus.epithelial_cell_of_thymus	4.162924189497729e-09	4.631576425524212e-09	0.1843759596508373
Tabula_Muris_Senis.ESmu190820__Marrow.HSC_enriched_fraction	3.1939140364927418e-09	3.5930430917388624e-09	0.1870240722611372
Tabula_Muris_Senis.ESmu190820__Fat.T_cell	3.8294715305349625e-09	4.601140664429252e-09	0.20262336251073265
Tabula_Muris_Senis.ESmu190820__Thymus.thymocyte	3.0662581195047877e-09	3.6964047166570287e-09	0.2034038514278373
Tabula_Muris_Senis.ESmu190820__Heart.fibroblast_of_cardiac_tissue	3.59651314234625e-09	4.6005736285573145e-09	0.21717981577778955
Tabula_Muris_Senis.ESmu190820__Skin.basal_cell_of_epidermis	3.746924131192288e-09	5.017570045565693e-09	0.22760401035551314
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_B_cell	1.970394645545412e-09	2.765051526232079e-09	0.23804453731391545
Tabula_Muris_Senis.ESmu190820__Heart.leukocyte	2.9480815345746248e-09	4.173942920250259e-09	0.23999888632030547
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_A	2.4319413733890742e-09	3.5926540429601843e-09	0.24922818041750566
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.Il6_expressing_cells	2.3941062519222016e-09	3.5497126119690385e-09	0.25001240080829223
Tabula_Muris_Senis.ESmu190820__Lung.monocyte	3.968734587660439e-09	6.092393601764896e-09	0.25738624278433153
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.ependymal_cell	2.110720227574989e-09	3.2916696402458978e-09	0.2606863439706919
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.brain_pericyte	3.796948278763757e-09	6.164847993843096e-09	0.268979275824087
Tabula_Muris_Senis.ESmu190820__Fat.endothelial_cell	2.916520907276246e-09	4.8033037314344276e-09	0.2718622126106647
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_A_cell	1.856105932013886e-09	3.2005599235024664e-09	0.2809803624890989
Tabula_Muris_Senis.ESmu190820__Heart.endocardial_cell	2.6112314264736445e-09	4.508350774068493e-09	0.2812275151192277
Tabula_Muris_Senis.ESmu190820__Thymus.DN4_thymocyte	1.8278627157763056e-09	3.6380978283576814e-09	0.30768512836536527
Tabula_Muris_Senis.ESmu190820__Trachea.endothelial_cell	3.030794040343264e-09	6.0732276100193995e-09	0.30887499157672776
Tabula_Muris_Senis.ESmu190820__Marrow.immature_B_cell	2.834610223969841e-09	6.3722349093445505e-09	0.32821852927536044
Tabula_Muris_Senis.ESmu190820__Marrow.erythroid_progenitor	1.5456523171661447e-09	3.6920421195557837e-09	0.33773806138889956
Tabula_Muris_Senis.ESmu190820__Large_Intestine.intestinal_crypt_stem_cell	1.164307899125141e-09	2.781452499987223e-09	0.3377553114007391
Tabula_Muris_Senis.ESmu190820__Marrow.Marrow_Cd4_T_cell	1.52951981367159e-09	3.748573056437473e-09	0.34162684842968827
Tabula_Muris_Senis.ESmu190820__Liver.hepatocyte	1.537959316243818e-09	3.911463211920934e-09	0.3470885299862516
Tabula_Muris_Senis.ESmu190820__Liver.endothelial_cell_of_hepatic_sinusoid	2.275407240332557e-09	5.868718105775649e-09	0.34911239247749704
Tabula_Muris_Senis.ESmu190820__Marrow.early_pro-B_cell	1.1302742247900677e-09	2.972736275453726e-09	0.3518934992845195
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.nan	2.0199823744661465e-09	5.474255952463413e-09	0.3560650927242191
Tabula_Muris_Senis.ESmu190820__Lung.endothelial_cell	1.5287138972908433e-09	4.209839606267324e-09	0.3582543453078684
