Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.mesenchymal_stem_cell	2.080728348399066e-08	5.81011615581961e-09	0.00017099909299320729
Tabula_Muris_Senis.ESmu190820__Fat.mesenchymal_stem_cell_of_adipose	1.595829534852196e-08	4.5502796082127066e-09	0.00022650761404164867
Tabula_Muris_Senis.ESmu190820__Trachea.fibroblast	1.4386193905123325e-08	4.6675074879881374e-09	0.001027381934335503
Tabula_Muris_Senis.ESmu190820__Bladder.bladder_cell	1.4039871034625328e-08	4.906510978020608e-09	0.002108356802019633
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_stellate_cell	2.775957454196934e-08	1.0647405789103212e-08	0.004564729172581601
Tabula_Muris_Senis.ESmu190820__Heart.fibroblast_of_cardiac_tissue	9.268098562117473e-09	4.856056656612095e-09	0.028159131389235856
Tabula_Muris_Senis.ESmu190820__Trachea.chondrocyte	1.2456171870705029e-08	6.702042773118302e-09	0.03154451954558523
Tabula_Muris_Senis.ESmu190820__Heart.smooth_muscle_cell	1.151154293990094e-08	6.49559988738093e-09	0.03818016042582233
Tabula_Muris_Senis.ESmu190820__Thymus.endothelial_cell	1.484289756492023e-08	8.430695377732503e-09	0.039154919852370774
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.brain_pericyte	1.230433609362e-08	7.056280070489985e-09	0.04060199252123198
Tabula_Muris_Senis.ESmu190820__Thymus.thymocyte	9.729911328029893e-09	5.588677813006342e-09	0.04084142456105468
Tabula_Muris_Senis.ESmu190820__Kidney.fenestrated_cell	9.474096044194866e-09	5.625081789379442e-09	0.04606578837712448
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.endothelial_cell	7.95248169647081e-09	5.239692077444533e-09	0.06454018395057584
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.skeletal_muscle_satellite_cell	6.622036701629773e-09	4.572332453333411e-09	0.07376879681706984
Tabula_Muris_Senis.ESmu190820__Marrow.HSC_enriched_fraction	7.865396180624408e-09	5.4940145408510176e-09	0.0761248658846325
Tabula_Muris_Senis.ESmu190820__Heart.endocardial_cell	6.699050516495038e-09	5.040529915826992e-09	0.09191788950482066
Tabula_Muris_Senis.ESmu190820__Marrow.Marrow_Cd4_T_cell	7.369456399426852e-09	5.554991250270249e-09	0.09231441084573722
Tabula_Muris_Senis.ESmu190820__Lung.endothelial_cell	6.4150709772324155e-09	4.888874966603375e-09	0.09473015185315126
Tabula_Muris_Senis.ESmu190820__Heart.valve_cell	7.527736638112749e-09	5.7474112495615435e-09	0.09513830508487509
Tabula_Muris_Senis.ESmu190820__Marrow.late_pro-B_cell	6.58454222810281e-09	5.15834705212962e-09	0.10089241939950094
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.endothelial_cell	8.4124182893299e-09	6.62356929371916e-09	0.10202926662174089
Tabula_Muris_Senis.ESmu190820__Kidney.Kidney-new-24m-cluster	6.289620218355015e-09	5.12344020978121e-09	0.10979546484006497
Tabula_Muris_Senis.ESmu190820__Trachea.endothelial_cell	8.799552074961978e-09	7.2037163579149555e-09	0.11094280071682588
Tabula_Muris_Senis.ESmu190820__Liver.endothelial_cell_of_hepatic_sinusoid	5.903177684167438e-09	5.171008817284423e-09	0.12681201096473582
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_A	7.4206567333712705e-09	6.603198437273546e-09	0.1305495085052104
Tabula_Muris_Senis.ESmu190820__Pancreas.endothelial_cell	5.330383102244606e-09	4.845997264302375e-09	0.1356756765531104
Tabula_Muris_Senis.ESmu190820__Lung.macrophage	6.176908268067398e-09	6.339710955946099e-09	0.1649487959708737
Tabula_Muris_Senis.ESmu190820__Fat.endothelial_cell	5.660085473682708e-09	5.87323353147283e-09	0.16759602885754338
Tabula_Muris_Senis.ESmu190820__Lung.myeloid_cell	5.220946011370735e-09	5.481540677209645e-09	0.17043197413242112
Tabula_Muris_Senis.ESmu190820__Kidney.mesangial_cell	7.417561467329342e-09	8.071763070809248e-09	0.17906038340335956
Tabula_Muris_Senis.ESmu190820__Lung.T_cell	8.285635168405949e-09	1.0118813004384368e-08	0.2064403663187342
Tabula_Muris_Senis.ESmu190820__Kidney.kidney_collecting_duct_epithelial_cell	4.909007101011902e-09	6.354053897818171e-09	0.2198858584374523
Tabula_Muris_Senis.ESmu190820__Kidney.epithelial_cell_of_proximal_tubule	4.065863777355936e-09	5.467182784137852e-09	0.22853342528297055
Tabula_Muris_Senis.ESmu190820__Marrow.immature_B_cell	6.342620703402812e-09	9.738977873320509e-09	0.2574388693134766
Tabula_Muris_Senis.ESmu190820__Heart.endothelial_cell_of_coronary_artery	3.4617705110829268e-09	5.557754973136124e-09	0.26668428681451106
Tabula_Muris_Senis.ESmu190820__Liver.T_cell	7.526312338846272e-09	1.2104420601259163e-08	0.2670425714575877
Tabula_Muris_Senis.ESmu190820__Thymus.epithelial_cell_of_thymus	3.0727169975867394e-09	5.5227010737769385e-09	0.2889757661109351
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_acinar_cell	2.354000413364958e-09	4.490345975638272e-09	0.30005724874617645
Tabula_Muris_Senis.ESmu190820__Trachea.macrophage	2.921058325188492e-09	6.498348707665616e-09	0.3265326971886444
Tabula_Muris_Senis.ESmu190820__Marrow.megakaryocyte-erythroid_progenitor_cell	4.945033572686489e-09	1.1527226968592699e-08	0.3339662461643883
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.macrophage	4.067993217970203e-09	9.873677375833668e-09	0.34016829600995013
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_B	2.3771197063136244e-09	5.873073499084381e-09	0.3428310676646479
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.Il6_expressing_cells	1.7852250974113928e-09	4.549882249796098e-09	0.3473934150503728
Tabula_Muris_Senis.ESmu190820__Skin.keratinocyte_stem_cell	1.9151129088913033e-09	4.898731358503946e-09	0.34792057653725683
Tabula_Muris_Senis.ESmu190820__Kidney.macrophage	3.1958361080591293e-09	8.835000561668076e-09	0.35877896060134007
Tabula_Muris_Senis.ESmu190820__Marrow.Cd4+_macrophage	1.496592156803951e-09	4.331457128956718e-09	0.364852858792278
