Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.neuron	1.18206207028675e-08	1.5031487173799795e-09	1.8616801715204752e-15
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.medium_spiny_neuron	1.1751284946280463e-08	2.0155772446089555e-09	2.7675019437621975e-09
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.interneuron	7.816328447760033e-09	1.8432608120898151e-09	1.1151634578372031e-05
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.oligodendrocyte_precursor_cell	7.481792351544235e-09	2.1121286567240484e-09	0.0001983273939253055
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_B_cell	4.363178741943924e-09	1.4066142783121988e-09	0.0009614100898037066
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_A_cell	4.747514961270942e-09	1.6399946189288906e-09	0.0018967852068382477
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.nan	6.2761537148050106e-09	2.245589547801212e-09	0.002595947726761845
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.astrocyte	6.935763977691848e-09	2.5733809977832655e-09	0.0035173708615357964
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.Bergmann_glial_cell	4.749534514976235e-09	2.102192387024491e-09	0.011931607173429814
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_D_cell	4.232158601921863e-09	1.93140211326213e-09	0.014217345110691632
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_PP_cell	5.5466566173020845e-09	2.5770597041970066e-09	0.015686087856940558
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.oligodendrocyte	4.5242935317637245e-09	2.4045848033419522e-09	0.029950067985590266
Tabula_Muris_Senis.ESmu190820__Lung.glial_cell	9.647036505111022e-09	5.290937096374194e-09	0.03412796898635959
Tabula_Muris_Senis.ESmu190820__Marrow.Cd4+_macrophage	4.007268017160052e-09	2.320886181163853e-09	0.04211875877319288
Tabula_Muris_Senis.ESmu190820__Thymus.epithelial_cell_of_thymus	2.982580118347537e-09	1.9719831468068734e-09	0.06520621754973407
Tabula_Muris_Senis.ESmu190820__Heart.ventricular_myocyte	2.5428679198154343e-09	1.8159574514136161e-09	0.08071317618911639
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.neuronal_stem_cell	3.95419032482889e-09	3.2381269639941896e-09	0.11101744584711615
