Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Tabula_Muris_Senis.ESmu190820__Thymus.DN4_thymocyte	7.424889792367523e-08	1.2860110064760568e-08	3.8801943431795085e-09
Tabula_Muris_Senis.ESmu190820__Spleen.T_cell	9.814440488241818e-08	1.921641171693152e-08	1.6337821494936226e-07
Tabula_Muris_Senis.ESmu190820__Kidney.T_cell	1.1606772421786983e-07	2.507460417379691e-08	1.8381054186784664e-06
Tabula_Muris_Senis.ESmu190820__Spleen.NK_cell	8.769117971002586e-08	1.9244119604537624e-08	2.597214449536246e-06
Tabula_Muris_Senis.ESmu190820__Fat.T_cell	7.848691698763658e-08	1.7686866595888117e-08	4.5487580546310625e-06
Tabula_Muris_Senis.ESmu190820__Liver.NK_cell	8.074645802952097e-08	1.84374635791371e-08	5.948208494441594e-06
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.T_cell	1.0930440057144165e-07	2.5105799472324066e-08	6.691384110266025e-06
Tabula_Muris_Senis.ESmu190820__Lung.T_cell	9.855604453058905e-08	2.2981478698571953e-08	8.994237294094356e-06
Tabula_Muris_Senis.ESmu190820__Marrow.naive_B_cell	4.666762749962033e-08	1.1092504408414028e-08	1.29316185064673e-05
Tabula_Muris_Senis.ESmu190820__Liver.T_cell	6.811704171104398e-08	1.703799403027195e-08	3.194677317956973e-05
Tabula_Muris_Senis.ESmu190820__Spleen.B_cell	4.3756603874325634e-08	1.103635714360904e-08	3.673356760552937e-05
Tabula_Muris_Senis.ESmu190820__Trachea.T_cell	7.805292981010077e-08	2.0468087478424008e-08	6.853501662284479e-05
Tabula_Muris_Senis.ESmu190820__Fat.B_cell	4.8707755519345916e-08	1.4183335017264961e-08	0.00029720328455954477
Tabula_Muris_Senis.ESmu190820__Thymus.professional_antigen_presenting_cell	5.105088900824898e-08	1.511313778516153e-08	0.0003651887765527572
Tabula_Muris_Senis.ESmu190820__Trachea.macrophage	4.3925979949846126e-08	1.3542792019762398e-08	0.0005903641476584632
Tabula_Muris_Senis.ESmu190820__Marrow.immature_B_cell	5.8978114831426005e-08	1.8637734482025244e-08	0.0007768909568068614
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_C	4.854554676315301e-08	1.6014726964514865e-08	0.0012174894718977448
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_B	4.249405452398612e-08	1.537141007039685e-08	0.0028506239386164056
Tabula_Muris_Senis.ESmu190820__Brain_Myeloid.macrophage	4.9848234170095564e-08	1.8260274912192006e-08	0.003167934996476941
Tabula_Muris_Senis.ESmu190820__Marrow.NK_cell	3.434374632740185e-08	1.2718679171923124e-08	0.0034642606384242213
Tabula_Muris_Senis.ESmu190820__Fat.NK_cell	4.75739908057807e-08	1.791208358704105e-08	0.003954010095630907
Tabula_Muris_Senis.ESmu190820__Lung.B_cell	4.547324454774916e-08	1.718729374422068e-08	0.004075528139631752
Tabula_Muris_Senis.ESmu190820__Fat.myeloid_cell	2.1132017155114393e-08	8.215639562662156e-09	0.005053170547425643
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.macrophage	5.034978363187477e-08	2.0049659888053682e-08	0.006015159286587309
Tabula_Muris_Senis.ESmu190820__Marrow.nan-marrow-needs-subclustering	1.9758523781989557e-08	7.949394852255991e-09	0.0064677869732384305
Tabula_Muris_Senis.ESmu190820__Marrow.Marrow_Cd4_T_cell	2.656086632963689e-08	1.1123737229898855e-08	0.008475596999397704
Tabula_Muris_Senis.ESmu190820__Trachea.granulocyte	3.4925286085136666e-08	1.484125377234312e-08	0.009304880505940345
Tabula_Muris_Senis.ESmu190820__Liver.myeloid_leukocyte	4.715671739373262e-08	2.044700851947498e-08	0.010547235726482274
Tabula_Muris_Senis.ESmu190820__Marrow.granulocytopoietic_cell	2.9124593125782854e-08	1.3171290747592425e-08	0.01351037765602951
